,index,case,event,journey_id,random_distributed_time,new_trace,last_trace,delay,random_distributed_time_delay,timestamp,time_diff
58,58,11,A,0,1.936368465293448,True,False,0.5,2.436368465293448,2.436368465293448,0.368477677654643
59,59,11,F,0,0.36847767765464323,False,False,0.0,0.36847767765464323,2.804846142948091,1.3008560293867761
60,60,11,D,0,1.3008560293867764,False,False,0.0,1.3008560293867764,4.105702172334867,1.2463673649561091
61,61,11,F,0,1.2463673649561093,False,False,0.0,1.2463673649561093,5.352069537290976,0.4428513393332034
62,62,11,D,0,0.4428513393332033,False,False,0.0,0.4428513393332033,5.79492087662418,0.07989774872700117
63,63,11,B,0,0.0798977487270009,False,False,0.0,0.0798977487270009,5.874818625351181,0.5121930606314979
64,64,11,E,0,0.5121930606314977,False,False,0.0,0.5121930606314977,6.387011685982679,1.2143587448308573
65,65,11,C,0,1.2143587448308573,False,False,0.0,1.2143587448308573,7.601370430813536,2.1446779019554425
66,66,11,A,0,2.1446779019554425,False,False,0.0,2.1446779019554425,9.746048332768979,1.091922891144323
67,67,11,F,0,1.0919228911443228,False,True,0.0,1.0919228911443228,10.837971223913302,0.644740262078237
99,99,18,F,0,0.14474026207823637,True,False,0.5,0.6447402620782363,11.482711485991539,1.1853605335693977
100,100,18,D,0,1.1853605335693984,False,False,0.0,1.1853605335693984,12.668072019560936,3.245140523435321
101,101,18,A,0,3.245140523435321,False,False,0.0,3.245140523435321,15.913212542996257,1.9613595053232533
102,102,18,F,0,1.9613595053232526,False,False,0.0,1.9613595053232526,17.87457204831951,2.3356754099011248
103,103,18,D,0,2.3356754099011248,False,False,0.0,2.3356754099011248,20.210247458220636,3.659466080532866
104,104,18,B,0,3.6594660805328663,False,False,0.0,3.6594660805328663,23.8697135387535,2.2675107119819344
105,105,18,C,0,2.267510711981935,False,False,0.0,2.267510711981935,26.137224250735436,2.7943419289651708
106,106,18,E,0,2.794341928965171,False,False,0.0,2.794341928965171,28.931566179700607,0.8320150728714246
