,index,case,event,journey_id,random_distributed_time,new_trace,last_trace,delay,random_distributed_time_delay,timestamp,time_diff
58,58,11,A,0,1.936368465293448,True,False,0.2,2.1363684652934483,2.1363684652934483,0.368477677654643
59,59,11,F,0,0.36847767765464323,False,False,0.0,0.36847767765464323,2.5048461429480913,1.3008560293867761
60,60,11,D,0,1.3008560293867764,False,False,0.0,1.3008560293867764,3.8057021723348674,1.2463673649561091
61,61,11,F,0,1.2463673649561093,False,False,0.0,1.2463673649561093,5.0520695372909765,0.4428513393332034
62,62,11,D,0,0.4428513393332033,False,False,0.0,0.4428513393332033,5.49492087662418,0.07989774872700117
63,63,11,B,0,0.0798977487270009,False,False,0.0,0.0798977487270009,5.574818625351181,0.5121930606314979
64,64,11,E,0,0.5121930606314977,False,False,0.0,0.5121930606314977,6.087011685982679,1.2143587448308573
65,65,11,C,0,1.2143587448308573,False,False,0.0,1.2143587448308573,7.301370430813536,2.1446779019554416
66,66,11,A,0,2.1446779019554425,False,False,0.0,2.1446779019554425,9.446048332768978,1.091922891144323
67,67,11,F,0,1.0919228911443228,False,True,0.0,1.0919228911443228,10.537971223913301,0.34474026207823627
99,99,18,F,0,0.14474026207823637,True,False,0.2,0.3447402620782364,10.882711485991537,1.1853605335693977
100,100,18,D,0,1.1853605335693984,False,False,0.0,1.1853605335693984,12.068072019560935,3.245140523435321
101,101,18,A,0,3.245140523435321,False,False,0.0,3.245140523435321,15.313212542996256,1.9613595053232533
102,102,18,F,0,1.9613595053232526,False,False,0.0,1.9613595053232526,17.27457204831951,2.3356754099011248
103,103,18,D,0,2.3356754099011248,False,False,0.0,2.3356754099011248,19.610247458220634,3.659466080532866
104,104,18,B,0,3.6594660805328663,False,False,0.0,3.6594660805328663,23.2697135387535,2.2675107119819344
105,105,18,C,0,2.267510711981935,False,False,0.0,2.267510711981935,25.537224250735434,2.7943419289651708
106,106,18,E,0,2.794341928965171,False,False,0.0,2.794341928965171,28.331566179700605,0.8320150728714246
107,107,18,A,0,0.8320150728714252,False,False,0.0,0.8320150728714252,29.16358125257203,1.1846188583622315
108,108,18,F,0,1.1846188583622328,False,True,0.0,1.1846188583622328,30.34820011093426,1.6980520595015314
122,122,22,F,0,1.4980520595015279,True,False,0.2,1.6980520595015278,32.04625217043579,0.19286559738692688
123,123,22,A,0,0.1928655973869278,False,False,0.0,0.1928655973869278,32.23911776782272,0.7651856030764179
124,124,22,D,0,0.7651856030764203,False,False,0.0,0.7651856030764203,33.00430337089914,0.6378164063513054
125,125,22,F,0,0.6378164063513037,False,False,0.0,0.6378164063513037,33.64211977725044,1.1616142162378367
126,126,22,D,0,1.1616142162378367,False,False,0.0,1.1616142162378367,34.80373399348828,0.6814642149533725
127,127,22,E,0,0.6814642149533755,False,False,0.0,0.6814642149533755,35.48519820844165,1.5928408534765737
128,128,22,A,0,1.5928408534765737,False,False,0.0,1.5928408534765737,37.078039061918226,2.4613545561882404
129,129,22,B,0,2.4613545561882404,False,False,0.0,2.4613545561882404,39.539393618106466,1.10789410719363
