,index,case,event,journey_id,random_distributed_time,new_trace,last_trace,delay,random_distributed_time_delay,timestamp,time_diff
58,58,11,A,0,1.936368465293448,True,False,2.0,3.936368465293448,3.936368465293448,0.368477677654643
59,59,11,F,0,0.36847767765464323,False,False,0.0,0.36847767765464323,4.304846142948091,1.3008560293867761
60,60,11,D,0,1.3008560293867764,False,False,0.0,1.3008560293867764,5.605702172334867,1.2463673649561091
61,61,11,F,0,1.2463673649561093,False,False,0.0,1.2463673649561093,6.852069537290976,0.4428513393332034
62,62,11,D,0,0.4428513393332033,False,False,0.0,0.4428513393332033,7.29492087662418,0.07989774872700117
63,63,11,B,0,0.0798977487270009,False,False,0.0,0.0798977487270009,7.374818625351181,0.5121930606314979
64,64,11,E,0,0.5121930606314977,False,False,0.0,0.5121930606314977,7.887011685982679,1.2143587448308564
65,65,11,C,0,1.2143587448308573,False,False,0.0,1.2143587448308573,9.101370430813535,2.1446779019554434
66,66,11,A,0,2.1446779019554425,False,False,0.0,2.1446779019554425,11.246048332768979,1.091922891144323
67,67,11,F,0,1.0919228911443228,False,True,0.0,1.0919228911443228,12.337971223913302,2.144740262078237
99,99,18,F,0,0.14474026207823637,True,False,2.0,2.1447402620782365,14.482711485991539,1.1853605335693977
100,100,18,D,0,1.1853605335693984,False,False,0.0,1.1853605335693984,15.668072019560936,3.2451405234353192
101,101,18,A,0,3.245140523435321,False,False,0.0,3.245140523435321,18.913212542996256,1.9613595053232515
102,102,18,F,0,1.9613595053232526,False,False,0.0,1.9613595053232526,20.874572048319507,2.3356754099011248
103,103,18,D,0,2.3356754099011248,False,False,0.0,2.3356754099011248,23.210247458220632,3.659466080532866
104,104,18,B,0,3.6594660805328663,False,False,0.0,3.6594660805328663,26.869713538753498,2.2675107119819344
105,105,18,C,0,2.267510711981935,False,False,0.0,2.267510711981935,29.137224250735432,2.7943419289651708
106,106,18,E,0,2.794341928965171,False,False,0.0,2.794341928965171,31.931566179700603,0.8320150728714282
107,107,18,A,0,0.8320150728714252,False,False,0.0,0.8320150728714252,32.76358125257203,1.184618858362235
108,108,18,F,0,1.1846188583622328,False,True,0.0,1.1846188583622328,33.948200110934266,3.498052059501525
122,122,22,F,0,1.4980520595015279,True,False,2.0,3.4980520595015276,37.44625217043579,0.19286559738692688
123,123,22,A,0,0.1928655973869278,False,False,0.0,0.1928655973869278,37.63911776782272,0.7651856030764179
124,124,22,D,0,0.7651856030764203,False,False,0.0,0.7651856030764203,38.404303370899136,0.6378164063513054
125,125,22,F,0,0.6378164063513037,False,False,0.0,0.6378164063513037,39.04211977725044,1.1616142162378367
126,126,22,D,0,1.1616142162378367,False,False,0.0,1.1616142162378367,40.20373399348828,0.6814642149533725
127,127,22,E,0,0.6814642149533755,False,False,0.0,0.6814642149533755,40.88519820844165,1.5928408534765737
128,128,22,A,0,1.5928408534765737,False,False,0.0,1.5928408534765737,42.478039061918224,2.4613545561882404
129,129,22,B,0,2.4613545561882404,False,False,0.0,2.4613545561882404,44.939393618106465,1.10789410719363
130,130,22,C,0,1.1078941071936328,False,False,0.0,1.1078941071936328,46.047287725300095,0.1512517138810665
131,131,22,F,0,0.15125171388106992,False,True,0.0,0.15125171388106992,46.19853943918116,2.1760283639602065
138,138,25,D,0,0.17602836396020788,True,False,2.0,2.176028363960208,48.37456780314137,1.3169371326223995
